title,company,location,stipend,date_posted,skills,job_type,search_role,source
Data Scientist,Scientific Games,Work from home,"₹ 8,00,000 - 24,00,000",2026-03-03,"Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP), Deep Learning",Job,python,internshala
Senior Full Stack Developer,Cite Works Studio,Pune,"₹ 20,00,000 - 25,00,000",2026-02-17,"Python, SQL, Git, Django, PostgreSQL, Frontend development, APIs",Job,python,internshala
Artificial Intelligence (AI) Trainee,Unisource Trading India Private Limited,"Gurgaon, Delhi","₹ 10,50,000 - 15,00,000",2026-02-24,"Python, Data Structures",Job,python,internshala
ML/AI Developer,Samur-AI,Goa Velha,"₹ 10,00,000 - 20,00,000",2026-02-10,"Python, Data Structures, FastAPI, Model fine-tuning",Job,python,internshala
Implementation Specialist,Base.com,Bangalore,"₹ 10,00,000 - 20,00,000",2026-02-10,"PHP, MySQL, HTML, JavaScript, Python, Git, REST API",Job,python,internshala
Cyber Security Specialist,"Alsatronix (Dubai, United Arab Emirates)",Work from home,"₹ 9,00,000 - 18,00,000",2026-02-24,"Python, Computer Networking, Linux, Ethical Hacking, VAPT, Web Application Security",Job,python,internshala
Enterprise Voice Agent & Telephony Solutions Engineer,"Alsatronix (Dubai, United Arab Emirates)",Work from home,"₹ 9,00,000 - 18,00,000",2026-02-24,"DNS, Python, Client Relationship Management (CRM), Docker, Microsoft Azure, REST API, OpenAI API",Job,python,internshala
Associate Data Scientist,Zulitech Solution,Work from home,"₹ 9,00,000 - 12,00,000",2026-03-03,"Python, Data Analytics, Data Science",Job,python,internshala
Artificial Intelligence (AI) Specialist,Bryckel AI,Work from home,"₹ 9,00,000",2026-02-17,"Python, Artificial intelligence, FastAPI, Claude, Gemini, Amazon EC2, Amazon RDS",Job,python,internshala
Senior Software Developer,Presolv360,Mumbai,"₹ 8,00,000 - 10,00,000",2026-03-02,"Java, JavaScript, Python, AWS CloudFormation",Job,python,internshala
Software Developer - Backend,Shipthis Inc,Bangalore,"₹ 8,00,000 - 9,00,000",2026-02-10,"Python, FastAPI",Job,python,internshala
Artificial Intelligence (AI) Manager,RS Infomedia And Films Private Limited,Delhi,"₹ 7,00,000 - 14,00,000",2026-03-03,"Leadership, Team Management, Python, Data Structures, Client Interaction, Machine Learning, Client Relationship Management (CRM)",Job,python,internshala
SD-1,Wokelo AI,Work from home,"₹ 7,00,000 - 10,00,000",2026-02-17,"Python, Django, API, Natural Language Processing (NLP)",Job,python,internshala
Software Engineer - Generative AI,Newtuple Technologies Private Limited,Pune,"₹ 7,00,000",2026-03-03,"Cloud Computing, Python, Golang, Database Management System (DBMS), Effective Communication, Software Development Life Cycle (SDLC), Generative AI Development",Job,python,internshala
Data Analytics Trainee,Tech4NexGen Business Solution,Work from home,"₹ 6,50,000 - 13,00,000",2026-03-03,"Python, SQL, Data Analytics, Advanced Excel, Power BI, Tableau",Job,python,internshala
Computer Vision Engineer,ClearQuote,Work from home,"₹ 6,36,000 - 12,60,000",2026-02-17,"OpenCV, Python, Machine Learning, Computer Vision, Deep Learning, CNN (Convolutional Neural Network)",Job,python,internshala
Artificial Intelligence (AI) Specialist,"Alsatronix (Dubai, United Arab Emirates)",Work from home,"₹ 6,00,000 - 12,00,000",2026-02-24,"Python, Data Structures, Machine Learning, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning",Job,python,internshala
Associate Backend Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"MySQL, HTML, Python",Job,python,internshala
Data Analytics Trainee,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"Python, SQL, Data Analytics",Job,python,internshala
Junior Python Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"HTML, CSS, Python",Job,python,internshala
Software Developer,AMIT SINGH,Work from home,"₹ 6,00,000",2026-03-03,"MySQL, Python, Node.js, PyTorch, Prompt Engineering, LLM evaluation",Job,python,internshala
Software Developer,TalentXO,Work from home,"₹ 6,00,000",2026-02-24,"MySQL, HTML, CSS, Python, React",Job,python,internshala
Associate Software Developer,TalentXO,Bangalore,"₹ 6,00,000",2026-02-17,"MySQL, HTML, CSS, Python, React",Job,python,internshala
Full Stack Developer,"Hamden Technology (London, United Kingdom)",Work from home,"₹ 5,50,000 - 13,00,000",2026-02-24,"PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB",Job,python,internshala
Software Developer,START-UP SAHAY PRIVATE LIMITED,Bangalore,"₹ 5,50,000 - 7,00,000",2026-03-03,"Java, MySQL, HTML, CSS, JavaScript, Python, .NET",Job,python,internshala
Full Stack Developer,HEXA SOLUTIONS,Work from home,"₹ 5,50,000 - 7,00,000",2026-02-24,"PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB",Job,python,internshala
Data Analytics Trainee,HEXA SOLUTIONS,Work from home,"₹ 5,25,000 - 6,50,000",2026-03-03,"MS-Office, Python, SQL, Data Analytics, MS-Excel, Data Science, Data Interpretation",Job,python,internshala
Computer Vision Associate,Unmannd Autonomy,Bangalore,"₹ 5,00,000 - 8,00,000",2026-03-03,"OpenCV, Python, Linux, Machine Learning, Computer Vision, Deep Learning",Job,python,internshala
Data Analytics Specialist,START-UP SAHAY PRIVATE LIMITED,Bangalore,"₹ 5,00,000 - 7,00,000",2026-03-03,"Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, Tableau",Job,python,internshala
Backend Developer,Moretasks Business Solution Limited,Gurgaon,"₹ 5,00,000 - 7,00,000",2026-02-17,"MySQL, Python, Git, Django, Node.js, PostgreSQL, Docker",Job,python,internshala
Associate Data Scientist,SoftSensor.ai,"Gurgaon, Jaipur","₹ 5,00,000 - 6,00,000",2026-03-01,"Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP), Deep Learning",Job,python,internshala
Backend Developer,InstaAstro,Noida,"₹ 5,00,000 - 6,00,000",2026-02-24,"Python, Django, Spring Boot",Job,python,internshala
